district,medinc
Abington,81500
Acton,120865
Acton-Boxborough,118054
Acushnet,69570
Adams-Cheshire,45081
Agawam,63561
Amesbury,76463
Amherst,52537
Amherst-Pelham,58608
Andover,125321
Arlington,92338
Ashburnham-Westminster,87037
Ashland,102721
Athol-Royalston,48510
Attleboro,65141
Auburn,72695
Avon,78750
Ayer Shirley School District,93030
Barnstable,58933
Bedford,114676
Belchertown,74221
Bellingham,87417
Belmont,105859
Berkley,84423
Berkshire Hills,54548
Berlin,88681
Berlin-Boylston,96097
Beverly,73980
Billerica,93761
Blackstone-Millville,74230
Boston,54485
Bourne,63664
Boxborough,103996
Boxford,127813
Boylston,102422
Braintree,87500
Brewster,66306
Bridgewater-Raynham,84691
Brimfield,82365
Brockton,48569
Brookfield,63889
Brookline,93640
Burlington,95465
Cambridge,75909
Canton,90878
Carlisle,157500
Carver,72804
Central Berkshire,56974
Chelmsford,93643
Chelsea,48725
Chesterfield-Goshen,66643
Chicopee,47276
Clarksburg,57375
Clinton,64867
Cohasset,117679
Concord,132385
Concord-Carlisle,138684
Conway,79286
Danvers,77404
Dartmouth,68684
Dedham,85558
Deerfield,75307
Dennis-Yarmouth,54151
Dighton-Rehoboth,85491
Douglas,84616
Dover,176250
Dover-Sherborn,165625
Dracut,76786
Dudley-Charlton Reg,78798
Duxbury,120253
East Bridgewater,88534
East Longmeadow,84173
Eastham,62452
Easthampton,56927
Easton,95372
Edgartown,56911
Erving,61083
Everett,51056
Fairhaven,60445
Fairhaven/New,69570
Fall River,33763
Falmouth,64070
Farmington River Reg,56071
Fitchburg,46628
Florida,51438
Foxborough,94538
Framingham,68881
Franklin,101980
Freetown-Lakeville,84851
Frontier,67517
Gardner,46589
Gateway,68018
Georgetown,106898
Gill-Montague,51525
Gloucester,60229
Gosnold,31406
Grafton,81250
Granby,78261
Greenfield,48493
Groton-Dunstable,116580
Hadley,74737
Halifax,69917
Hamilton-Wenham,112676
Hampden-Wilbraham,84194
Hampshire,68307
Hancock,80395
Hanover,98750
Harvard,131563
Hatfield,60033
Haverhill,61208
Hawlemont,52250
Hingham,103350
Holbrook,63297
Holland,64868
Holliston,108350
Holyoke,35550
Hopedale,99886
Hopkinton,128267
Hudson,74082
Hull,77440
Ipswich,77901
King Philip,104324
Kingston,86339
Lanesborough,72727
Lawrence,34496
Lee,60152
Lee/Berkshire,56071
Leicester,68790
Lenox,51201
Leominster,59263
Leverett,78125
Lexington,137456
Lincoln,127763
Lincoln-Sudbury,155568
Littleton,111652
Longmeadow,108835
Lowell,49164
Ludlow,61410
Lunenburg,71055
Lynn,47195
Lynnfield,114816
Malden,55523
Manchester Essex Regional,89266
Mansfield,93082
Marblehead,100709
Marion,76607
Marlborough,71424
Marshfield,89702
Martha's Vineyard,65801
Masconomet,115818
Mashpee,65768
Mattapoisett,78216
Maynard,79252
Medfield,143641
Medford,77868
Medway,109841
Melrose,86409
Mendon-Upton,112037
Methuen,68587
Middleborough,75727
Middleton,105646
Milford,68007
Millbury,71676
Millis,96773
Milton,113087
Mohawk Trail,55625
Monson,66389
Mount Greylock,73032
Nahant,65083
Nantucket,86529
Narragansett,70329
Nashoba,110810
Natick,98902
Nauset,60462
Nauset/Provincetown,58060
Needham,129154
New Salem-Wendell,58636
New Bedford,36813
Newburyport,83149
Newton,118639
Norfolk,143682
North Reading,112419
North Andover,100544
North Attleborough,81847
North Middlesex,80327
North Brookfield,58438
North Adams,37654
Northampton,58179
Northborough,107111
Northboro-Southboro,123167
Northbridge,70399
Norton,80806
Norwell,110671
Norwood,79963
Oak Bluffs,80225
Old Rochester,81004
Orange,41473
Orleans,58235
Oxford,70016
Palmer,51846
Peabody,62234
Pelham,88462
Pembroke,89954
Pentucket,91896
Petersham,65625
Pioneer Valley,60375
Pittsfield,43489
Plainville,78516
Plymouth,76925
Plympton,94505
Provincetown,41250
Quabbin,71712
Quaboag Regional,48936
Quincy,62710
Ralph C Mahar,45927
Randolph,63259
Reading,103913
Revere,50900
Richmond,77396
Rochester,94688
Rockland,66860
Rockport,70288
Rowe,54375
Salem,59044
Sandwich,84167
Saugus,76141
Savoy,57222
Scituate,102577
Seekonk,74242
Sharon,127413
Sherborn,155564
Shrewsbury,97365
Shutesbury,73173
Silver Lake,83998
Somerset,72558
Somerville,66866
South Hadley,62803
Southampton,68693
Southborough,149375
Southbridge,42376
Southern Berkshire,56277
Southwick-Tolland-Granville Regional School District,81216
Spencer-E Brookfield,63070
Springfield,34731
Stoneham,76218
Stoughton,74688
Sturbridge,79711
Sudbury,169505
Sunderland,50417
Sutton,111804
Swampscott,96494
Swansea,77345
Tantasqua,71743
Taunton,52225
Tewksbury,87496
Tisbury,42727
Topsfield,121157
Triton,84993
Truro,58060
Tyngsborough,93108
Up-Island Regional,73326
Uxbridge,86768
Wachusett,97764
Wakefield,85156
Wales,52500
Walpole,90332
Waltham,73162
Ware,49630
Wareham,62560
Watertown,86461
Wayland,142306
Webster,48650
Wellesley,159615
Wellfleet,45746
West Bridgewater,81573
West Boylston,73365
West Springfield,52806
Westborough,100552
Westfield,60845
Westford,125143
Westhampton,79583
Weston,201200
Westport,80840
Westwood,128813
Weymouth,69099
Whately,75982
Whitman-Hanson,85123
Williamsburg,65147
Williamstown,73397
Wilmington,100536
Winchendon,59332
Winchester,141829
Winthrop,64169
Woburn,77883
Worcester,46105
Wrentham,99302
