reportdate,case_percap3,case_percap10,case_percap17,case_percap0,av3,av10,av17,av0
09-16-2021,0.99000001,0.43000001,0.75999999,0.25,0.079999998,0.059999999,0.12,0.079999998
09-23-2021,1.55,1.1900001,1.45,0.80000001,0.36000001,0.17,0.36000001,0.13
09-30-2021,1.37,1.4,1.15,0.61000001,0.86000001,0.55000001,0.77999997,0.36000001
10-07-2021,1.52,1.16,0.94,0.51999998,1.3,1.01,1.12,0.56
10-14-2021,1.9,1.23,0.85000002,0.95999998,1.48,1.25,1.1799999,0.63999999
10-21-2021,1.7,1.66,1.12,0.58999997,1.6,1.26,0.98000002,0.69999999
10-28-2021,1.3200001,1.2,1.88,0.40000001,1.71,1.35,0.97000003,0.69
11-04-2021,1.72,2.5899999,1.39,1.38,1.64,1.37,1.28,0.64999998
11-12-2021,2.04,2.3699999,2,2.74,1.58,1.8200001,1.46,0.79000002
11-18-2021,2.98,2,1.76,1.8,1.6900001,2.0599999,1.76,1.51
11-25-2021,3.97,2.29,2.74,2.1500001,2.25,2.3199999,1.72,1.97
12-02-2021,3.97,2.29,2.74,2.1500001,3,2.22,2.1700001,2.23
12-09-2021,6.4499998,3.3699999,4.7600002,5.5900002,3.6400001,2.2,2.4100001,2.04
12-16-2021,6.6700001,4.0100002,4.2399998,5.0500002,4.8000002,2.6500001,3.4100001,3.3
12-23-2021,8.4899998,7.0900002,7.54,6.8000002,5.6999998,3.23,3.9100001,4.27
12-30-2021,25.5,26.58,12.83,5.8099999,7.21,4.8299999,5.5100002,5.8099999
01-06-2022,25.5,26.58,12.83,5.8099999,13.55,12.56,8.1999998,5.8899999
01-13-2022,53.900002,42.869999,33.77,27.889999,19.83,20.08,11.07,6.1399999
01-20-2022,31.379999,28.91,17.809999,21.129999,34.970001,32.009998,19.809999,13.17
01-27-2022,17.889999,19.700001,16.99,14.01,36.93,32.790001,21.469999,18.280001
02-03-2022,11.81,11,7.6300001,6.5300002,34.389999,30.49,22.860001,21.01
02-10-2022,5.9200001,5.4899998,3.73,3.98,20.360001,19.870001,14.15,13.89
02-17-2022,3.1800001,3.5,1.45,1.99,11.87,12.06,9.4499998,8.1700001
02-24-2022,1.6,1.64,1.53,1.29,6.9699998,6.6599998,4.27,4.1700001
03-03-2022,1.6,1.64,1.53,1.29,3.5599999,3.54,2.24,2.4200001
03-10-2022,1.78,2.46,1.36,0.51999998,2.1199999,2.26,1.5,1.52
03-17-2022,2.6400001,3.1099999,1.85,0.54000002,1.66,1.91,1.47,1.03
03-24-2022,3.2,4.02,3.4200001,0.69,2.01,2.4000001,1.58,0.77999997
03-31-2022,4.1100001,5.4899998,4.6599998,1.23,2.54,3.2,2.21,0.57999998
04-07-2022,3.6900001,6.1999998,5.8800001,2.53,3.3199999,4.21,3.3099999,0.81999999
04-14-2022,5.7600002,6.6700001,7.3899999,4.77,3.6700001,5.2399998,4.6500001,1.48
04-21-2022,4.2399998,7.25,5.4400001,2.8699999,4.52,6.1199999,5.98,2.8399999
04-28-2022,4.2399998,7.25,5.4400001,2.8699999,4.5599999,6.71,6.23,3.3900001
05-05-2022,10.49,14.49,9.21,7.5799999,4.75,7.0599999,6.0900002,3.5
05-12-2022,16.540001,25.120001,15.33,8.6099997,6.3200002,9.6599998,6.6900001,4.4400001
05-19-2022,16.870001,28.950001,16.27,11.54,10.42,15.62,9.9899998,6.3499999
05-25-2022,10.64,20.469999,11.75,7.3499999,14.63,22.85,13.6,9.25
06-02-2022,8.1400003,15.42,8.3599997,4.4400001,14.68,24.85,14.45,9.1700001
06-09-2022,5.48,6.9299998,5.3299999,5.3200002,11.88,21.610001,12.13,7.7800002
06-16-2022,3.4100001,7.4699998,3.4200001,4.21,8.0900002,14.27,8.4799995,5.6999998
06-23-2022,1.8,3.3199999,1.3,2.26,5.6799998,9.9399996,5.6999998,4.6599998
